"","x"
"1","MT-TF"
"2","MT-RNR1"
"3","MT-TV"
"4","MT-RNR2"
"5","MT-TL1"
"6","MT-ND1"
"7","MT-TI"
"8","MT-TQ"
"9","MT-TM"
"10","MT-ND2"
"11","MT-TW"
"12","MT-TA"
"13","MT-TN"
"14","MT-TC"
"15","MT-TY"
"16","MT-CO1"
"17","MT-TS1"
"18","MT-TD"
"19","MT-CO2"
"20","MT-TK"
"21","MT-ATP8"
"22","MT-ATP6"
"23","MT-CO3"
"24","MT-TG"
"25","MT-ND3"
"26","MT-TR"
"27","MT-ND4L"
"28","MT-ND4"
"29","MT-TH"
"30","MT-TS2"
"31","MT-TL2"
"32","MT-ND5"
"33","MT-ND6"
"34","MT-TE"
"35","MT-CYB"
"36","MT-TT"
"37","MT-TP"
"38",""
"39","5S_RRNA"
"40","5_8S_RRNA"
"41","RNA5-8SN5"
"42","U6"
"43","Y_RNA"
"44","U1"
"45","U2"
"46","MAFIP"
"47","RNA5-8SN4"
"48","RPL23AP45"
"49","C8ORF33"
"50","LINC02688"
"51","MUC5AC"
"52","MUC2"
"53","ZSWIM4"
"54","RN7SL619P"
"55","MIR23AHG"
"56","MIR24-2"
"57","MIR27A"
"58","MIR23A"
"59","NANOS3"
"60","MIR181C"
"61","MIR181D"
"62","BRME1"
"63","CC2D1A"
"64","PODNL1"
"65","DCAF15"
"66","RFX1"
"67","RLN3"
"68","IL27RA"
"69","PALM3"
"70","EEF1DP1"
"71","MISP3"
"72","MIR1199"
"73","C19ORF67"
"74","PRKACA"
"75","ASF1B"
"76","ADGRL1-AS1"
"77","ADGRL1"
"78","RN7SL231P"
"79","SAMD1"
"80","CNTNAP3C"
"81","RN7SL462P"
"82","RNU1-62P"
"83","MTCO3P47"
"84","RNA5SP136"
"85","RYBP"
"86","SYT15B"
"87","NPY4R2"
"88","FAM25C"
"89","AGAP12P"
"90","RNA5SP315"
"91","BMS1P7"
"92","HMX1"
"93","PPP2R3B"
"94","RPL14P5"
"95","IL3RA"
"96","P2RY8"
"97","SLC25A6"
"98","DHRSX-IT1"
"99","DHRSX"
"100","ASMTL"
"101","LINC00685"
"102","PLCXD1"
"103","ZBED1"
"104","MIR6089"
"105","LINC00102"
"106","CD99"
"107","METAZOA_SRP"
"108","FABP5P13"
"109","KRT18P53"
"110","SHOX"
"111","MIR3690"
"112","RNA5SP498"
"113","CD99P1"
"114","CRLF2"
"115","AKAP17A"
"116","ASMT"
"117","CSF2RA"
"118","ASMTL-AS1"
"119","LINC00106"
"120","LINC02968"
"121","LINC03015"
"122","LINC03014"
"123","FAM20C"
"124","LINC03112"
"125","GTPBP6"
"126","AMD1P2"
"127","DPH3P2"
"128","VAMP7"
"129","ELOCP24"
"130","TRPC6P1"
"131","DDX11L16"
"132","WASH6P"
"133","WASIR1"
"134","IL9R"
"135","TSPY24P"
"136","ZNF92P1Y"
"137","SERBP1P2"
"138","TSPY12P"
"139","DUX4L19"
"140","OFD1P3Y"
"141","RBMY2HP"
"142","ELOCP35"
"143","SLC9B1P1"
"144","USP12PY"
"145","KDM5DP1"
"146","DUX4L17"
"147","ZNF736P6Y"
"148","TUSC2P1"
"149","PUDPP1"
"150","CDRT15P10"
"151","USP9Y"
"152","RNU6-409P"
"153","ACR"
"154","SNRPA1P2"
"155","SHANK3"
"156","RNF19BPY"
"157","TUBB1P2"
"158","ACTR3BP1"
"159","RPS24P1"
"160","RCC2P2"
"161","ZNF736P8Y"
"162","EIF1AY"
"163","BPY2"
"164","MTND1P12"
"165","CTBP2P1"
"166","MTND6P1"
"167","PABPC1P5"
"168","RCC2P1"
"169","SHROOM2P1"
"170","DUX4L18"
"171","ZNF736P11Y"
"172","BPY2DP"
"173","CHEK2P1"
"174","ZNF886P"
"175","OFD1P16Y"
"176","ASS1P6"
"177","SNX18P1Y"
"178","MED14P1"
"179","ZNF885P"
"180","ARSFP1"
"181","ZNF736P7Y"
"182","SURF6P1"
"183","ANKRD20A6P"
"184","RBMY2KP"
"185","TTTY19"
"186","TTTY4"
"187","MXRA5Y"
"188","DUX4L16"
"189","MTCYBP1"
"190","TTTY17A"
"191","AGPAT5P1"
"192","FAM41AY1"
"193","TRIM60P3Y"
"194","MTND1P1"
"195","PRRC2CP1"
"196","ZNF736P10Y"
"197","MTND2P3"
"198","ARSDP1"
"199","CDY4P"
"200","UBE2V1P3"
"201","FAM8A4P"
"202","TRIM60P8Y"
"203","MED13P1"
"204","CYCSP46"
"205","RNU6-303P"
"206","RN7SL702P"
"207","RNA5SP520"
"208","RNA5SP521"
"209","RNU6-109P"
"210","RNU6-184P"
"211","HSFY2"
"212","GPM6BP2"
"213","USP9YP2"
"214","ELOCP14"
"215","XKRYP2"
"216","USP9YP10"
"217","RNU1-41P"
"218","OFD1P7Y"
"219","MTCYBP2"
"220","ZNF839P1"
"221","CD24P4"
"222","RNU6-255P"
"223","GCGR"
"224","GAPDHP19"
"225","CLUHP1"
"226","TAF9P1"
"227","CDY5P"
"228","ELOCP36"
"229","ACTG1P2"
"230","USP9YP23"
"231","USP9YP27"
"232","RNU1-128P"
"233","TRAPPC2P3"
"234","ELOCP6"
"235","CDY6P"
"236","USP9YP7"
"237","USP9YP6"
"238","CDY7P"
"239","USP9YP34"
"240","USP9YP32"
"241","CDY8P"
"242","ELOCP12"
"243","TRAPPC2P8"
"244","USP9YP15"
"245","RNU1-95P"
"246","USP9YP16"
"247","ACTG1P11"
"248","ELOCP26"
"249","CDY9P"
"250","TAF9P2"
"251","CLUHP2"
"252","RNA5SP522"
"253","RNA5SP523"
"254","TUBB1P1"
"255","ELOCP13"
"256","OFD1P4Y"
"257","RNU1-48P"
"258","USP9YP5"
"259","XKRYP1"
"260","ELOCP7"
"261","USP9YP1"
"262","GPM6BP1"
"263","RAB9AP4"
"264","TRAPPC2P7"
"265","KDM5D"
"266","MCRIP1"
"267","PPP1R27"
"268","HSFY1"
"269","TGIF2LY"
"270","CDY2A"
"271","ZNF736P3Y"
"272","TRIM60P9Y"
"273","RN7SKP282"
"274","RNU6-941P"
"275","RNU6-521P"
"276","SRIP3"
"277","GOT2P5"
"278","ATP5PFP1"
"279","TRIM60P10Y"
"280","ZNF736P2Y"
"281","TRIM60P11Y"
"282","ZNF736P1Y"
"283","ZNF736P5Y"
"284","BPY2C"
"285","TTTY4C"
"286","DAZ4"
"287","CDY2B"
"288","RNU6-1334P"
"289","SRY"
"290","LINC01784"
"291","PRAMEF11"
"292","TOMM22P2"
"293","RPS4Y1"
"294","PRAMEF30P"
"295","HNRNPCL1"
"296","PRAMEF2"
"297","NAP1L1P2"
"298","ZFY"
"299","PRAMEF4"
"300","PRAMEF10"
"301","PRAMEF7"
"302","EEF1A1P41"
"303","PSMA6P1"
"304","SFPQP1"
"305","DPPA2P1"
"306","RNU6-1072P"
"307","PRAMEF29P"
"308","DDX3Y"
"309","PRAMEF6"
"310","PRAMEF28P"
"311","PRAMEF27"
"312","HNRNPCL3"
"313","PRAMEF25"
"314","PRAMEF34P"
"315","PRAMEF35P"
"316","HNRNPCL2"
"317","PRAMEF36P"
"318","PRAMEF26"
"319","HNRNPCL4"
"320","PRAMEF9"
"321","CASKP1"
"322","UTY"
"323","PRAMEF13"
"324","PRAMEF18"
"325","PRAMEF31P"
"326","PRAMEF5"
"327","PRAMEF32P"
"328","RNU6-771P"
"329","PRAMEF8"
"330","PRAMEF33"
"331","PRAMEF22"
"332","TMSB4Y"
"333","VCY"
"334","DAZ3"
"335","ARHGEF19"
"336","ANO7L1"
"337","CPLANE2"
"338","MT1XP1"
"339","FBXO42"
"340","DAZ1"
"341","SZRD1"
"342","RPL22P3"
"343","SPATA21"
"344","NECAP2"
"345","SNORA70"
"346","LINC01772"
"347","AMELY"
"348","CROCCP3"
"349","RNU1-1"
"350","LINC01783"
"351","RNU1-6P"
"352","PDE4DIPP8"
"353","TBL1Y"
"354","RNU1-2"
"355","LINC03126"
"356","RNU1-5P"
"357","EIF1AXP1"
"358","RNU1-3"
"359","RNU1-4"
"360","PADI2"
"361","CROCCP4"
"362","DAZ2"
"363","NBPF1"
"364","AGKP1"
"365","NLGN4Y-AS1"
"366","NLGN4Y"
"367","CDY22P"
"368","ELOCP17"
"369","OFD1P18Y"
"370","TRAPPC2P4"
"371","RAB9AP3"
"372","USP9YP20"
"373","RNU1-40P"
"374","USP9YP21"
"375","XKRYP6"
"376","ELOCP11"
"377","CDY23P"
"378","USP9YP26"
"379","HSFY8P"
"380","RNU6-1314P"
"381","CYCSP48"
"382","VCY1B"
"383","PNPLA4P1"
"384","TBL1YP1"
"385","RPS4Y2"
"386","HSFY4P"
"387","GAPDHP17"
"388","TMEM167AP1"
"389","TOMM22P1"
"390","NEFLP1"
"391","PRORY"
"392","TSPY14P"
"393","RBMY1HP"
"394","TTTY13"
"395","ELOCP5"
"396","CDY10P"
"397","USP9YP3"
"398","USP9YP8"
"399","CDY11P"
"400","HSFY6P"
"401","USP9YP18"
"402","CDY14P"
"403","ELOCP16"
"404","XKRYP3"
"405","USP9YP25"
"406","USP9YP29"
"407","RNU1-97P"
"408","RAB9AP1"
"409","TRAPPC2P9"
"410","OFD1P11Y"
"411","RNU2-57P"
"412","VDAC1P6"
"413","EIF4A1P2"
"414","KRT18P10"
"415","SNX3P1Y"
"416","RPL26P37"
"417","PCDH11Y"
"418","ELOCP9"
"419","CDY15P"
"420","XKRYP4"
"421","USP9YP13"
"422","USP9YP11"
"423","TTTY3B"
"424","USP9YP12"
"425","RNU1-86P"
"426","RAB9AP5"
"427","TRAPPC2P10"
"428","OFD1P12Y"
"429","ELOCP10"
"430","CDY1B"
"431","CDY17P"
"432","USP9YP35"
"433","USP9YP31"
"434","CDY18P"
"435","RN7SL818P"
"436","UBE2Q2P4Y"
"437","LINC00265-2P"
"438","CICP2"
"439","RBMY2XP"
"440","TTTY17B"
"441","TRIM60P5Y"
"442","ZNF736P12Y"
"443","TTTY4B"
"444","BPY2B"
"445","ZNF736P4Y"
"446","RBMY2YP"
"447","CICP1"
"448","LINC00265-3P"
"449","UBE2Q2P5Y"
"450","GOLGA2P3Y"
"451","RN7SL725P"
"452","CDY19P"
"453","USP9YP36"
"454","USP9YP33"
"455","CDY20P"
"456","ELOCP34"
"457","OFD1P13Y"
"458","TRAPPC2P5"
"459","RAB9AP2"
"460","USP9YP30"
"461","RNU1-107P"
"462","TTTY3"
"463","USP9YP9"
"464","USP9YP19"
"465","XKRYP5"
"466","CYCSP49"
"467","SLC25A15P1"
"468","PARP4P1"
"469","CCNQP2"
"470","CDY1"
"471","RBMY1B"
"472","RBMY1A1"
"473","RFTN1P1"
"474","BCL2L14"
"475","TTTY11"
"476","ARSLP1"
"477","OFD1P6Y"
"478","XKRY"
"479","XKRYP7"
"480","HSFY3P"
"481","TAB3P1"
"482","ANOS2P"
"483","RBMY2EP"
"484","GOLGA2P2Y"
"485","TXLNGY"
"486","GYG2P1"
"487","CDY3P"
"488","USP9YP22"
"489","USP9YP4"
"490","PTMAP9"
"491","MIR1244-4"
"492","ELOCP4"
"493","LRP6"
"494","TTTY20"
"495","TSPY4"
"496","FAM197Y7"
"497","FAM197Y6"
"498","TSPY8"
"499","TSPY3"
"500","RBMY2CP"
"501","RBMY2DP"
"502","ZNF736P9Y"
"503","FAM197Y8"
"504","PRKY"
"505","RPL21P100"
"506","BCORP1"
"507","RNU6-545P"
"508","RNU6-318P"
"509","MANSC1"
"510","FAM197Y5"
"511","TSPY1"
"512","RPL23AP66"
"513","FAM197Y4"
"514","LOH12CR2"
"515","TSPY9"
"516","BORCS5"
"517","FAM197Y3"
"518","FAM197Y2"
"519","TSPY10"
"520","DUSP16"
"521","FAM197Y1"
"522","TSPY25P"
"523","TSPY16P"
"524","TTTY22"
"525","TSPY18P"
"526","RBMY2OP"
"527","RBMY2QP"
"528","TSPY20P"
"529","TSPY5P"
"530","RNA5SP518"
"531","RNA5SP519"
"532","DUX4L31"
"533","PCMTD1P1"
"534","CDC27P2"
"535","RNA5-8SP6"
"536","DLGAP5P1"
"537","TTTY23B"
"538","TSPY2"
"539","FAM197Y9"
"540","TSPY19P"
"541","LINC00280"
"542","TSPY17P"
"543","TTTY23"
"544","FAM224B"
"545","TTTY2B"
"546","TTTY1B"
"547","TTTY7"
"548","TTTY8B"
"549","MIR4740"
"550","MIR3186"
"551","LINC01971"
"552","ACTG1"
"553","TTTY10"
"554","BAHCC1"
"555","TTTY16"
"556","LINC03048"
"557","TTTY12"
"558","TTTY2"
"559","TTTY7B"
"560","ZFY-AS1"
"561","TTTY17C"
"562","SEPTIN14P23"
"563","FAM41AY2"
"564","LINC00278"
"565","TTTY1"
"566","LINC00279"
"567","RNU5B-4P"
"568","ECSCR"
"569","TTTY18"
"570","SMIM33"
"571","STING1"
"572","TTTY8"
"573","STSP1"
"574","RBMY2JP"
"575","XGY1"
"576","RBMY2WP"
"577","USP9YP28"
"578","TTTY14"
"579","NCOA4P4"
"580","OFD1P1Y"
"581","USP9YP14"
"582","RNASEH2CP1"
"583","XGY2"
"584","PPP1R12BP2"
"585","REREP1Y"
"586","GPR143YP"
"587","OFD1P15Y"
"588","REREP2Y"
"589","PPP1R12BP1"
"590","ANKRD36P1"
"591","OFD1P2Y"
